system:index,area_inundada_km2,area_total_km2,estado_code,estado_name,month,pct_inundada,year,.geo
5_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000af,0.0,185238.26699334712,2053,Sonora,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,6.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,7.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00020000000000000099,0.0,73700.07195083906,2029,Baja California,7.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,7.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,7.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
